GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,MIN_PER_GAME
Lineups,-1626157-1628384-1628404-1628969-1628973-,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,41,28,13,0.683,797.0,116.9,118.4,113.4,112.8,3.6,5.6000000000000085,0.666,2.37,21.1,0.274,0.73,0.509,0.127,0.572,0.604,99.6,99.22,82.68,1651,0.538,1,1,10601,3812,1,3579,6139,4204,4453,1261,2972,4290,4563,4010,6021,3901,4118,7403,4374,19.4390243902439
Lineups,-201144-203497-203944-1630162-1630183-,M. Conley - R. Gobert - J. Randle - A. Edwards - J. McDaniels,1610612750,MIN,39,24,15,0.615,528.0,111.3,111.4,110.0,111.1,1.4,0.30000000000001137,0.656,1.65,19.3,0.259,0.739,0.506,0.163,0.565,0.595,98.0,97.48,81.23,1076,0.507,2,2,10608,4186,2,4144,6000,4420,4464,2363,3826,4403,4509,4025,6837,4053,4307,7870,4714,13.538461538461538
Lineups,-1627832-1628415-1630224-1630578-1631095-,F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,1610612745,HOU,28,18,10,0.643,416.0,106.9,110.4,104.0,103.8,2.9,6.6000000000000085,0.57,1.88,16.3,0.314,0.75,0.52,0.122,0.496,0.536,101.4,99.77,83.14,871,0.519,8,4,10577,4151,3,4226,5513,4166,5122,2167,5060,3922,4017,3917,5774,5867,5266,7237,4596,14.857142857142858
Lineups,-201942-1627734-1628368-1628370-1631099-,D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Murray,1610612758,SAC,27,13,14,0.481,414.0,115.1,115.0,113.3,113.4,1.8,1.5999999999999943,0.64,2.49,20.0,0.264,0.747,0.499,0.113,0.544,0.583,103.5,103.45,86.21,895,0.512,9,22,10605,5478,4,3879,6179,4376,4533,1231,3741,4383,4495,5611,5637,4363,4499,6012,4676,15.333333333333334
Lineups,-1626167-1627783-1629614-1630169-1631097-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,1610612754,IND,26,17,9,0.654,363.0,116.7,115.6,102.0,99.9,14.8,15.699999999999989,0.696,2.51,21.6,0.223,0.793,0.528,0.12,0.583,0.613,100.1,101.63,84.69,768,0.587,10,10,10565,4150,5,3834,4172,3649,3657,1132,2842,4990,3778,3832,5741,3714,3983,6649,3766,13.961538461538462
Lineups,-201572-203081-203507-1627752-1641748-,B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - A. Jackson Jr.,1610612749,MIL,29,18,11,0.621,300.0,109.5,109.3,112.4,112.3,-3.0,-3.0,0.616,1.71,18.7,0.232,0.781,0.506,0.149,0.566,0.583,101.4,101.59,84.66,637,0.487,6,4,10585,4182,6,4312,6055,5666,4670,2266,4014,4943,3838,4024,6622,4045,4491,6660,5081,10.344827586206897
Lineups,-203991-1629027-1630552-1630700-1642258-,C. Capela - T. Young - J. Johnson - D. Daniels - Z. Risacher,1610612737,ATL,26,14,12,0.538,282.0,111.9,111.5,111.9,111.7,-0.1,-0.20000000000000284,0.712,2.13,21.7,0.31,0.742,0.522,0.149,0.555,0.572,106.1,106.35,88.62,624,0.502,10,18,10599,4336,7,4136,6017,5571,3592,1379,2829,3946,4500,3900,6621,4221,4644,5155,4739,10.846153846153847
Lineups,-1628392-1628983-1629652-1631114-1641717-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,1610612760,OKC,20,17,3,0.85,263.0,117.0,117.1,101.4,101.2,15.7,15.899999999999991,0.594,2.44,19.3,0.27,0.718,0.503,0.11,0.559,0.594,102.1,102.16,85.13,556,0.594,28,10,9709,3521,8,3652,5444,3646,4962,1242,3830,4346,4653,4033,5434,4157,4318,6474,3706,13.15
Lineups,-202699-203501-1630595-1631093-1631105-,T. Harris - T. Hardaway Jr. - C. Cunningham - J. Ivey - J. Duren,1610612765,DET,21,10,11,0.476,261.0,118.3,119.8,121.2,122.0,-2.8,-2.200000000000003,0.653,1.9,20.6,0.332,0.762,0.55,0.157,0.598,0.617,98.6,97.66,81.38,530,0.484,19,55,10585,5479,9,3529,6851,5630,4470,2152,3085,3885,3991,3469,6760,3605,3874,7808,5131,12.428571428571429
Lineups,-201935-1626181-1627739-1627826-1627884-,J. Harden - N. Powell - K. Dunn - I. Zubac - D. Jones Jr.,1610612746,LAC,19,12,7,0.632,257.0,111.0,112.5,101.7,102.4,9.2,10.099999999999994,0.594,1.72,18.5,0.266,0.72,0.502,0.147,0.558,0.585,101.4,100.38,83.65,536,0.548,34,32,10516,4162,10,4032,5465,3927,4958,2254,4059,4377,4643,4034,6599,4161,4436,7043,4233,13.526315789473685
